Account Statement for 123456789

Cash Balance
Date,Time,Type,Description,Misc Fees,Commissions & Fees,Amount,Balance
1/2/25 8:00:00,,,,,,50000.00

Account Trade History
Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
1/6/25 9:35:12,,BUY,2,TO OPEN,/ESH25,,,FUTURE,5920.25,,LIMIT
1/6/25 10:12:45,,SELL,2,TO CLOSE,/ESH25,,,FUTURE,5928.50,,LIMIT
1/6/25 13:05:30,,SELL,1,TO OPEN,/NQH25,,,FUTURE,21250.00,,MARKET
1/6/25 14:22:18,,BUY,1,TO CLOSE,/NQH25,,,FUTURE,21215.75,,LIMIT
1/7/25 9:31:05,,BUY,3,TO OPEN,/ESH25,,,FUTURE,5935.00,,MARKET
1/7/25 9:58:40,,SELL,2,TO CLOSE,/ESH25,,,FUTURE,5940.75,,LIMIT
1/7/25 10:15:22,,SELL,1,TO CLOSE,/ESH25,,,FUTURE,5938.25,,LIMIT
1/7/25 11:00:10,,SELL,1,TO OPEN,/ESH25,,,FUTURE,5945.50,,LIMIT
1/7/25 11:45:33,,BUY,1,TO CLOSE,/ESH25,,,FUTURE,5950.25,,STOP
1/8/25 10:05:15,,SELL,2,TO OPEN,/NQH25,,,FUTURE,21380.50,,LIMIT
1/8/25 10:48:22,,BUY,1,TO CLOSE,/NQH25,,,FUTURE,21350.00,,LIMIT
1/8/25 11:30:45,,BUY,1,TO CLOSE,/NQH25,,,FUTURE,21365.25,,LIMIT
1/9/25 11:15:00,,BUY,2,TO OPEN,/ESH25,,,FUTURE,5960.00,,LIMIT
1/9/25 12:45:30,,SELL,2,TO CLOSE,/ESH25,,,FUTURE,5952.75,,STOP
1/13/25 9:32:15,,BUY,1,TO OPEN,/ESH25,,,FUTURE,5975.50,,MARKET
1/13/25 10:05:00,,BUY,1,TO OPEN,/ESH25,,,FUTURE,5972.00,,LIMIT
1/13/25 11:30:45,,SELL,2,TO CLOSE,/ESH25,,,FUTURE,5983.25,,LIMIT

Futures Statements

Account Statement for 987654321

Cash Balance
Date,Time,Type,Description,Misc Fees,Commissions & Fees,Amount,Balance
1/2/25 8:00:00,,,,,,25000.00

Account Trade History
Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
1/8/25 8:32:00,,BUY,4,TO OPEN,/MESH25,,,FUTURE,5948.00,,LIMIT
1/8/25 9:15:30,,SELL,4,TO CLOSE,/MESH25,,,FUTURE,5955.50,,LIMIT
1/9/25 9:30:05,,BUY,1,TO OPEN,/CLG25,,,FUTURE,72.45,,MARKET
1/9/25 10:20:18,,SELL,1,TO CLOSE,/CLG25,,,FUTURE,73.10,,LIMIT
1/9/25 11:15:00,,SELL,1,TO OPEN,/NQH25,,,FUTURE,21420.00,,LIMIT
1/9/25 12:50:10,,BUY,1,TO CLOSE,/NQH25,,,FUTURE,21445.50,,STOP
1/10/25 9:35:00,,BUY,1,TO OPEN,/GCG25,,,FUTURE,2665.30,,MARKET
1/10/25 10:55:20,,SELL,1,TO CLOSE,/GCG25,,,FUTURE,2672.80,,LIMIT
1/10/25 13:00:05,,SELL,3,TO OPEN,/MESH25,,,FUTURE,5970.25,,LIMIT
1/10/25 14:10:40,,BUY,3,TO CLOSE,/MESH25,,,FUTURE,5965.00,,LIMIT
1/14/25 9:45:10,,SELL,2,TO OPEN,/NQH25,,,FUTURE,21500.00,,LIMIT
1/14/25 10:30:22,,BUY,2,TO CLOSE,/NQH25,,,FUTURE,21475.50,,LIMIT

Futures Statements
